file_name,fold
50-27-0_4-20220602T052138.pcd,4
50-27-0_5-20220524T041419.pcd,0
50-27-0_5-20220525T030449.pcd,2
50-27-0_5-20220527T045102.pcd,4
50-27-0_5-20220530T074538.pcd,1
50-27-0_5-20220601T033109.pcd,0
50-27-0_5-20220602T052138.pcd,2
50-27-0_6-20220523T042520.pcd,3
50-27-0_6-20220524T041419.pcd,0
50-27-0_6-20220525T030449.pcd,1
50-27-0_6-20220527T045102.pcd,3
50-27-0_6-20220530T074538.pcd,4
50-27-0_6-20220531T042054.pcd,2
50-27-0_6-20220601T033109.pcd,2
50-27-0_6-20220602T052138.pcd,3
50-27-0_7-20220523T042520.pcd,4
50-27-0_7-20220524T041419.pcd,0
50-27-0_7-20220525T030449.pcd,1
50-27-0_7-20220527T045102.pcd,4
50-27-0_7-20220530T074538.pcd,1
50-27-0_7-20220531T042054.pcd,3
50-27-0_7-20220601T033109.pcd,2
50-27-0_7-20220602T052138.pcd,0
50-27-0_8-20220523T042520.pcd,0
50-27-0_8-20220524T041419.pcd,4
50-27-0_8-20220525T030449.pcd,2
50-27-0_8-20220527T045102.pcd,1
50-27-0_8-20220530T074538.pcd,3
50-27-0_8-20220531T042054.pcd,1
50-27-0_8-20220601T033109.pcd,2
50-27-1_1-20220523T042520.pcd,0
50-27-1_1-20220524T041419.pcd,3
50-27-1_1-20220525T030449.pcd,4
50-27-1_1-20220527T045102.pcd,3
50-27-1_1-20220530T074538.pcd,0
50-27-1_1-20220531T042054.pcd,1
50-27-1_1-20220601T033109.pcd,2
50-27-1_1-20220602T052138.pcd,4
50-27-1_10-20220523T042520.pcd,0
50-27-1_10-20220524T041419.pcd,1
50-27-1_10-20220525T030449.pcd,4
50-27-1_10-20220527T045102.pcd,3
50-27-1_10-20220530T074538.pcd,2
50-27-1_10-20220531T042054.pcd,4
50-27-1_10-20220601T033109.pcd,1
50-27-1_10-20220602T052138.pcd,0
50-27-1_11-20220527T045102.pcd,3
50-27-1_11-20220530T074538.pcd,2
50-27-1_11-20220531T042054.pcd,3
50-27-1_2-20220530T074538.pcd,4
50-27-1_2-20220531T042054.pcd,2
50-27-1_2-20220601T033109.pcd,1
50-27-1_3-20220601T033109.pcd,0
50-27-1_4-20220523T042520.pcd,2
50-27-1_4-20220524T041419.pcd,0
50-27-1_4-20220525T030449.pcd,3
50-27-1_4-20220527T045102.pcd,4
50-27-1_4-20220530T074538.pcd,1
50-27-1_4-20220531T042054.pcd,1
50-27-1_4-20220601T033109.pcd,0
50-27-1_4-20220602T052138.pcd,4
50-27-1_5-20220523T042520.pcd,3
50-27-1_5-20220524T041419.pcd,2
50-27-1_5-20220525T030449.pcd,1
50-27-1_5-20220527T045102.pcd,3
50-27-1_5-20220530T074538.pcd,0
50-27-1_5-20220531T042054.pcd,4
50-27-1_5-20220601T033109.pcd,2
50-27-1_5-20220602T052138.pcd,0
50-27-1_6-20220523T042520.pcd,1
50-27-1_6-20220524T041419.pcd,2
50-27-1_6-20220525T030449.pcd,3
50-27-1_6-20220527T045102.pcd,4
50-27-1_6-20220530T074538.pcd,4
50-27-1_6-20220531T042054.pcd,0
50-27-1_6-20220601T033109.pcd,1
50-27-1_6-20220602T052138.pcd,2
50-27-1_7-20220523T042520.pcd,3
50-27-1_7-20220524T041419.pcd,4
50-27-1_7-20220525T030449.pcd,0
50-27-1_7-20220527T045102.pcd,2
50-27-1_7-20220530T074538.pcd,1
50-27-1_7-20220531T042054.pcd,3
50-27-1_7-20220601T033109.pcd,0
50-27-1_7-20220602T052138.pcd,1
50-27-1_8-20220601T033109.pcd,4
50-27-1_9-20220523T042520.pcd,2
50-27-1_9-20220524T041419.pcd,3
50-27-1_9-20220525T030449.pcd,1
50-27-1_9-20220527T045102.pcd,0
50-27-1_9-20220530T074538.pcd,3
50-27-1_9-20220531T042054.pcd,2
50-27-1_9-20220601T033109.pcd,4
50-27-1_9-20220602T052138.pcd,0
51-97-0_0-20220701T081025.pcd,4
51-97-0_0-20220702T053351.pcd,3
51-97-0_0-20220704T034007.pcd,1
51-97-0_0-20220706T054932.pcd,2
51-97-0_0-20220707T045320.pcd,0
51-97-0_0-20220708T092902.pcd,2
51-97-0_1-20220701T081025.pcd,1
51-97-0_1-20220702T053351.pcd,4
51-97-0_1-20220704T034007.pcd,3
51-97-0_11-20220705T054818.pcd,3
51-97-0_2-20220705T054818.pcd,1
51-97-0_2-20220709T095212.pcd,0
51-97-0_3-20220701T081025.pcd,4
51-97-0_3-20220702T053351.pcd,2
51-97-0_3-20220704T034007.pcd,4
51-97-0_3-20220705T054818.pcd,0
51-97-0_3-20220706T054932.pcd,3
51-97-0_3-20220707T045320.pcd,2
51-97-0_3-20220708T032429.pcd,1
51-97-0_3-20220708T092902.pcd,2
51-97-0_3-20220709T034019.pcd,3
51-97-0_4-20220705T054818.pcd,4
51-97-0_4-20220709T095212.pcd,1
51-97-0_6-20220701T081025.pcd,0
51-97-0_6-20220702T053351.pcd,1
51-97-0_6-20220704T034007.pcd,0
51-97-0_6-20220706T054932.pcd,4
51-97-0_7-20220701T081025.pcd,2
51-97-0_7-20220702T053351.pcd,3
51-97-0_7-20220704T034007.pcd,2
51-97-0_7-20220705T054818.pcd,3
51-97-0_9-20220701T081025.pcd,0
51-97-0_9-20220702T053351.pcd,4
51-97-0_9-20220705T054818.pcd,1
51-97-0_9-20220706T054932.pcd,0
51-97-1_0-20220701T081025.pcd,4
51-97-1_0-20220702T053351.pcd,3
51-97-1_0-20220704T034007.pcd,2
51-97-1_0-20220705T054818.pcd,1
51-97-1_0-20220706T054932.pcd,2
51-97-1_0-20220707T045320.pcd,4
51-97-1_0-20220709T034019.pcd,3
51-97-1_0-20220709T095212.pcd,1
51-97-1_0-20220710T031209.pcd,0
51-97-1_0-20220711T030647.pcd,4
51-97-1_1-20220701T081025.pcd,0
51-97-1_1-20220702T053351.pcd,2
51-97-1_1-20220704T034007.pcd,1
51-97-1_1-20220705T054818.pcd,3
51-97-1_10-20220701T081025.pcd,0
51-97-1_10-20220702T053351.pcd,3
51-97-1_2-20220705T054818.pcd,1
51-97-1_2-20220709T095212.pcd,2
51-97-1_6-20220701T081025.pcd,4
51-97-1_6-20220702T053351.pcd,2
51-97-1_6-20220704T034007.pcd,3
51-97-1_6-20220705T054818.pcd,4
51-97-1_6-20220706T054932.pcd,1
51-97-1_6-20220707T045320.pcd,0
51-97-1_6-20220708T032429.pcd,2
51-97-1_7-20220701T081025.pcd,4
51-97-1_7-20220702T053351.pcd,3
51-97-1_8-20220705T054818.pcd,1
51-97-1_9-20220701T081025.pcd,0
51-97-1_9-20220702T053351.pcd,0
51-97-1_9-20220704T034007.pcd,2
51-97-1_9-20220705T054818.pcd,4
51-97-1_9-20220706T054932.pcd,3
59-79-1_1-20230731T063312.pcd,1
59-79-1_1-20230801T090222.pcd,1
59-79-1_1-20230802T034543.pcd,2
59-79-1_1-20230802T082140.pcd,4
59-79-1_1-20230803T051109.pcd,3
59-79-1_1-20230803T082206.pcd,0
59-79-1_1-20230804T083131.pcd,4
59-79-1_1-20230805T085523.pcd,3
59-79-1_1-20230807T050152.pcd,0
59-79-1_1-20230807T081832.pcd,2
59-79-1_1-20230808T041812.pcd,1
59-79-1_1-20230808T084305.pcd,0
59-79-1_10-20230729T054442.pcd,2
59-79-1_8-20230729T054442.pcd,3
